一个不成熟的萝莉控,103374243,抄不抄的先不讲，这个B听的歌还真不少,2019-12-13 15:38:00
纳兰桥真,328860129,这首歌可以当电影咒怨的立題曲，细品极其恐怖 惊恐 ,2019-12-13 15:15:12
jw586461709,474160284,2019年世间最毒的诅咒 你唱歌像花粥？,2019-12-13 15:11:38
考试告辞,1880415001,太秀了,2019-12-13 14:46:29
Beyond乾仔,68115883,我有好几个B站6级号，还有好几个网易云7级号，给个群号，有钱大家一起赚，不要那么吝啬，价钱可以商量。,2019-12-13 14:41:45
2020w,128280554,声卡怪物嗷，离了声卡就不大行了,2019-12-13 14:39:15
深巷里透过的光,296390281,先生大才,2019-12-13 14:36:34
Beyond乾仔,68115883,花照搬和李裁缝真乃“音乐界”两大鬼才,2019-12-13 14:35:15
Nero_1997,124342586,网络版权小卫士！！！！！！！小心云小将喷你嗷,2019-12-13 14:22:27
陨落n,1532385093,今年下山我学长徐泽唱的,2019-12-13 14:18:17
YanG_Hole,373240571,你偷东西被别人发现了，还不准别人谴责你？你这么善良不想别人受伤害怎么不去当官改条例呢,2019-12-13 14:07:07
AreKing,256264662,hapi都在洗。,2019-12-13 14:06:57
__Alva,103492790,今年出山明年下山后年下葬嗷 大笑 ,2019-12-13 14:02:48
__Alva,103492790,啥才华？我不太听得懂这句话 外星 外星 外星 ,2019-12-13 14:01:33
花花鬼灯,2013580201,恭喜恭喜,2019-12-13 13:55:18
jw586461709,474160284,粥孝子 我自私自利麻木不仁毫无道德感就爱当小人怎么啦？但！你们！你们这些黑粉！必须以圣人的标准要求自己，否则我就有理由喷你们。 ,2019-12-13 13:53:54
Crusaders颂歌,1729504923,Super love bachbeats,2019-12-13 13:51:59
jw586461709,474160284, 笑了,2019-12-13 13:49:56
故梦已逝-只是空城,558599347,你还会说什么？笑死，评论全是你在刷？还能说点其他的？,2019-12-13 13:44:40
故梦已逝-只是空城,558599347,00后有问题？您怎么还不死？,2019-12-13 13:43:38
纳兰桥真,328860129,对，洋毛子的东西自己不中用，不如我们拿来用！ 呲牙 ,2019-12-13 13:35:54
风之刻,116944760,毕竟是网易带起来的，网易可做不到收手,2019-12-13 13:35:23
夕待暖烟,75135819,因为你们遇到我们这些斗士真的不堪一击，不自量力还不如认同她潮汐的事实在这里挨骂你以为你们骂的过我们这些知道真相事情的人吗？,2019-12-13 13:31:57
纳兰桥真,328860129,庄家说了算,2019-12-13 13:31:53
一氧化二氢剧毒,623155033, 洗地的舔 ，其他的交给外国人来做9 可以,2019-12-13 13:31:27
鉡喰素炣嗩,389518219,出殡,2019-12-13 13:31:05
夕待暖烟,75135819,你们这群洗白的人最好有多远滚多远吧，我们就不说什么了，就因为你们这群跳比谁都还欢的泼猴我们就做个斗士给你们看看吧。你们不跳谁愿意稀罕你啊，像洗白这脏歌就省省你的力气吧,2019-12-13 13:29:32
一氧化二氢剧毒,623155033,那可不，想到有人直接抄歌还不被罚，理直气壮，nb坏了，六亲都不想认了,2019-12-13 13:29:02
纳兰桥真,328860129,变态太多，不必太放心上！,2019-12-13 13:21:23
纳兰桥真,328860129,哈哈，现在问题更严重了 口罩 ,2019-12-13 13:19:27
夕待暖烟,75135819,李袁杰,2019-12-13 13:11:42
夕待暖烟,75135819,明年抄山今年照搬山,2019-12-13 13:09:48
我怀里才是人间喔,409075451,王胜娚老师在其中扮演什么角色？,2019-12-13 13:09:16
HC嗨渡,2071203628,今年下山了,2019-12-13 13:08:07
夕待暖烟,75135819,谁稀罕你啊，看得起你吗？我看你这种人就是笑话把自己当另类看着可笑而已，也不看看谁在哪里咬谁在哪里跟 一样跳。你自己好到哪去了，在这里显得你自己知书达礼吗？,2019-12-13 13:07:56
我怀里才是人间喔,409075451,做错事不该挨骂？,2019-12-13 13:01:58
朱景文,542204022,半斤八两而已，权当个笑话看看就好了。溜了溜了，不看你们互咬了。 大笑 ,2019-12-13 13:01:50
我怀里才是人间喔,409075451,我们没多高尚，但比你这种混淆黑白的人好的多，是吧小学生。,2019-12-13 13:01:38
夕待暖烟,75135819,而且知道日本人韩国人吗？他们也只会抓我们中国人不好的一面，真以为他们会说好话，而且我们中国自己人不争气反而让自己的国人败光了还不能反驳他们，你说这种窝囊气谁不气，就以前日本人总是抓我们中国人素质问题说事，而且国人是怎么做的也不看看,2019-12-13 13:00:30
猜猜我名字_9iUI,1842257479,恭喜，,2019-12-13 12:53:34
夕待暖烟,75135819,还不能反驳他们，也不看看那些洋人是什么德行他们只要发现中国不好的一面肯定会夸大其词就像日本人一样知道不,2019-12-13 12:53:32
夕待暖烟,75135819,你让那些留学的那些学生怎么想，要每天听洋人那些冷嘲热讽的话吗？,2019-12-13 12:52:23
夕待暖烟,75135819,本来是道德问题好吗？不经过别人同意就拿去用了还不受法律制作这有什么好值得沾沾自喜洋洋得意了，而且偷别人还都是外国人的不觉得丢人丢人现眼吗？然后那些洋人有可以嘲笑我们了你就高兴了自在了。,2019-12-13 12:51:40
夕待暖烟,75135819,她的歌都是潮汐侵权别人的就别有好话了，问题你可以不看啊，我高尚不高尚反正不喜欢这种偷别人作品的人说成自己的还不道歉，我看你听歌就是了这种人的歌都听不怕耳聋,2019-12-13 12:49:00
xixi熙熙丫,1963690194,出山，现在下山 ,2019-12-13 12:47:50
枫之安,47534580,口区,2019-12-13 12:47:09
clannad天下第一,307512054,现在是485529评论，过几天再来看会不会少呢， 圣诞节限定 很期待,2019-12-13 12:46:41
朱景文,542204022,别闹哈，我听歌就听歌，可还没有那个闲心上升到道德方面去，只是昨晚闲来无聊点开评论看了一下觉得有些乌烟瘴气，打仗一般，忽觉有趣罢了。 大笑 ,2019-12-13 12:45:47
炽天使的右边翅膀,499633626,无耻,2019-12-13 12:43:51
clannad天下第一,307512054,一开口就知道，老粥孝子了,2019-12-13 12:41:09
Megd,134197470,宁说的对，宁是抽 带事,2019-12-13 12:41:05
囍囍囍囍囍囍囍囍囍囍囍囍囍-,423277871,确实,2019-12-13 12:39:41
朱景文,542204022,单纯的觉得你们这样维权有趣罢了。,2019-12-13 12:39:38
夕待暖烟,75135819,世界那么多好听的歌原创的歌优秀的歌怎么多，干嘛要降低自己等级去听她剽窃来的歌真是无语了,2019-12-13 12:37:37
Megd,134197470,宁说的 在洗,2019-12-13 12:36:44
夕待暖烟,75135819,你就别阴阳怪气了，看着可笑而已问题谁喜欢听这种劣质品啊，就像你喜欢买名牌衣服也不想要地摊货吧 ,2019-12-13 12:36:06
夕待暖烟,75135819,呵,2019-12-13 12:34:56
漆黑魅音,1307099190,刚调查了一下，恍然大悟，我擦，这花粥的操作太阔怕了,2019-12-13 12:31:26
夕待暖烟,75135819,然后抄山,2019-12-13 12:28:05
只吃包子的刘淑芬,529749443,今年出山明年下山后年归山,2019-12-13 12:24:30
朱景文,542204022,爱了爱了！！ 开心 ,2019-12-13 12:21:15
夕待暖烟,75135819,因为你不通网啊,2019-12-13 12:21:08
朱景文,542204022,可以可以，道德高尚，志气长远，中国最缺的就是你们这群正义之士，加油，努力建设更加美好的新中国，美好的未来在前面等着你呢！ 大笑 ,2019-12-13 12:20:04
打泥泥,515698023,李袁杰,2019-12-13 12:16:42
--Sparkles--,436471930,哈哈哈哈，说得好,2019-12-13 12:11:38
--Sparkles--,436471930,李袁杰,2019-12-13 12:09:54
夕待暖烟,75135819,我希望如此，因为有我们这群人守护迟早像花粥一样的所谓音乐人别来污染我的耳朵弄着清净，还有你们这些斗士快点洗白啊，怎么这么不堪一击吗？到现在还不是有人在骂花粥你们可真不行啊 ,2019-12-13 12:09:03
许嵩崧,1999938700,李裁缝是谁,2019-12-13 12:07:28
盈盈乖_,1546038769,可这不是出头 而且他也道歉了 这样继续讽刺没意思 好好听歌就好了,2019-12-13 12:05:36
1503的FZ,407870061,冰雪节限定？,2019-12-13 12:04:08
朱景文,542204022,哈哈哈哈哈，可以斗士！为了华语乐坛的未来，请继续。 大笑 ,2019-12-13 12:03:08
旧日公子,1520829048,嗯,2019-12-13 12:02:54
jw586461709,474160284,草莓音乐节好听，现场有内味了。,2019-12-13 11:58:01
漆黑魅音,1307099190,？这首歌有什么问题，不知道,2019-12-13 11:50:01
jw586461709,474160284,自我高潮 扣帽子 双标，真是粥孝子一类走犬的通病。,2019-12-13 11:49:54
故友_z,1287429905,你可别像狗一样舔,2019-12-13 11:47:17
猹国师,1982556683,low穿地心的货色， 西西呕吐 ,2019-12-13 11:45:39
猹国师,1982556683,因果报应罢了,2019-12-13 11:43:46
用户1537602076,1537602076,老实人,2019-12-13 11:33:45
中毒的咸鱼,397790503,为什么不改作曲人，这首歌都不是你作曲的,2019-12-13 11:31:56
鱼昆鱼昆的父,124610652,这么熟练呢 宁拿自己 练过手啊,2019-12-13 11:28:14
十里春风不如你的一眸,429258534,加油,2019-12-13 11:24:07
逃避责任现实,1553035092,你奶奶还健在呢，你不用担心，你该担心自己 在哪个人床上蠕动,2019-12-13 11:14:03
逃避责任现实,1553035092,是不是我家狗栓没拴好你啊，跑这来毒你奶奶,2019-12-13 11:12:15
万里恋歌爱上千里情书,1663608150,那必哇,2019-12-13 10:57:45
大汉卐民族,282353080,花粥终于唱了一首不像问题少女一样的歌儿了,2019-12-13 10:51:42
追风的碎片,356369493,“希望看到这条评论的人永远开心” 星星 ,2019-12-13 10:48:03
流浪者岸,1436158730,好听为啥不听的又不要钱就是要钱老子也听一边听歌一边骂她不要脸 咬我呀,2019-12-13 10:45:34
南城不是大佬,1386056515,音乐鬼才，靠别人的曲成名 便便 ,2019-12-13 10:44:02
军师赤羽信之介,1667382993,兄弟，刀不好收啊,2019-12-13 10:40:38
嘿傻子1811,1666586515,不是男女平等嘛，你这样一说不就把女孩放在弱势了，还有，做错事哪分男女。这和他还小不懂事，他还是个孩子，这种屁话有什么区别。还有听众不出头，还能等谁来，这样的话原作者一个人终究是孤掌难鸣的。,2019-12-13 10:38:45
2017名人堂,250541184,花照搬，李裁缝，音乐鬼才,2019-12-13 10:32:37
少了一颗眼睛的玩具熊想要当英雄,446872113,现在在听觉得 有人不知悔改 迷雾中混淆黑白在情怀里市侩 旁人不敢来拆穿看似时来运转 实则在顶风作案 真是绝了,2019-12-13 10:29:23
睡觉zZ1704,467319675,您父母健在？,2019-12-13 10:19:12
磐松先生,610260005,我是作词人，作词人怎么样才能写出来好的歌词，就是把感情带进去，或者是亲身经历才是最好的，作曲人就是把作词人的感情给升华出来，但是曲就是抄的，我不知道这歌还有啥意义,2019-12-13 10:18:12
王道冲,107330476,作曲花粥？？？？,2019-12-13 10:12:32
流浪者岸,1436158730,借用某网友的一句话你知道当初中国也是原创游戏产业大国嘛？你知道为什么后来中国游戏开始变得萎靡不振的嘛？你知道为什么很多游戏制作人抱着理想结果让作品胎死腹中嘛？你知道为什么现在中国游戏做不到日本，韩国，美国那些国家那么出色嘛？你知道吗？你不知道，因为你只知道好听就行 转，侵删 ,2019-12-13 10:09:55
糜之音,1347576686,哈哈哈哈哈,2019-12-13 10:09:53
宁在想什么,334115201,不是国粹的原创就不需要尊重？？宁可憋出来丢人咯,2019-12-13 10:02:23
上尺工凡三六等等,50731134,我真是气笑了，跟他们这种人没法交流,2019-12-13 09:53:49
上尺工凡三六等等,50731134,想多了，装睡的人喊不醒的,2019-12-13 09:51:53
上尺工凡三六等等,50731134,准确的说是剽窃原曲后加词,2019-12-13 09:49:43
Paris白羊,1480369968,呕,2019-12-13 09:49:24
上尺工凡三六等等,50731134,不然岂不是官方打脸，X狗有,2019-12-13 09:48:17
倾久不想改名,1611077579,您就是剩蛋 嘛？,2019-12-13 09:29:00
拾忆往昔肆夜轻狂,119969693,我朋友说我对待别人就积气，然后憋个大 大哭 ,2019-12-13 09:28:50
killmepleaseeeee,137554569,粥孝子你来啦,2019-12-13 09:28:03
油炸皮卡丘qwq,1772297801,自己睁眼睛说瞎话在那块胡扯，跟你讲理就说我恶意骂人，在你说我骂你的那条之前，哪骂你了？说我过分？玻璃心就别出来丢人现眼，从头到尾，微博百度都有实锤的证据，玻璃心就别在这块编瞎话叭叭,2019-12-13 09:20:44
夕待暖烟,75135819,主要是原曲伴奏好听，没有原曲伴奏的称托你觉得这首歌好听吗？还是抖音上的歌别人肯定像见了老鼠一样回避的 ,2019-12-13 09:18:13
夕待暖烟,75135819,对方一年前的侵权行为已经无法取证，很难拿到赔偿，就算最后赔了也可能就是几千元 大不了让对方的作品暂时下线，可在漫长的诉讼过程中人家随时可以重新编个曲录一录又回来了。等于原作者不但没办法拿回应得的东西，还要付出去更多。,2019-12-13 09:12:45
VIPVegas,1726585508,给 爪巴,2019-12-13 09:04:50
夕待暖烟,75135819,因为上诉成本太高，风险太大。律师们都说这种因租Beat引起民事纠纷在我国没有任何案例可以参考。败出山所赐，在国内这边Super Love已经被定义为不受版权保护的编曲作品。,2019-12-13 09:04:08
柚子不甜-L,1398859096,牛！,2019-12-13 09:02:55
盈盈乖_,1546038769,那你多正？ 不觉得这种行为是墙头草吗,2019-12-13 09:02:14
1070218817,438982561,主要是歌好听，不然他们知道啥？,2019-12-13 09:00:32
1070218817,438982561,上山,2019-12-13 08:59:54
1070218817,438982561,我砍完了才收,2019-12-13 08:59:34
1070218817,438982561,我们是来维权的不是来听歌的,2019-12-13 08:58:53
夕待暖烟,75135819,别人原作者也想告她，可是中国法律对于版权问题没有像其他国家一样重视,2019-12-13 08:58:39
OuPinxuan,582768586,去你家水井里放点那什么奇怪的东西吧？反正很刺激 大笑 ,2019-12-13 08:58:15
夕待暖烟,75135819,你可以去B站看看为什么原作者没有告成她，真很可恶,2019-12-13 08:57:49
OuPinxuan,582768586,40米的刀差点没收起来 大笑 ,2019-12-13 08:54:22
花粥本鬼,453193565,你们这些骂花粥的，麻烦先去了解下他好吗？我一开始就是这样，了解他完以后，我现在不光想骂他，我还想打他,2019-12-13 08:48:15
瑾衣十年,38779968,没错啊，抄袭鬼才，也是才,2019-12-13 08:43:58
瑾衣十年,38779968,抄袭,2019-12-13 08:43:14
夕待暖烟,75135819,也永远品味不了蜂蜜的甜味，你也只能品味苍蝇那种臭味，跟你这种人怼简直就是在拉低我们的智商，你就继续活在自己的梦里吧，永远叫不醒装睡的人,2019-12-13 08:41:48
夕待暖烟,75135819,你这种苍蝇也只有喜欢这种味道吧,2019-12-13 08:37:19
夕待暖烟,75135819,你在怎么洗，在怎么无理取闹也改变不了她潮汐别人作品的事实，你因为有时空隧道吗？,2019-12-13 08:36:28
夕待暖烟,75135819,潮汐侵权别人作品不管原创激不激动都让人讨厌口区就像蟑螂一样,2019-12-13 08:33:15
好期待的Aki,515381972,？？你是三观有多歪才会说出这种话？,2019-12-13 08:32:17
